started_at,ended_at,start_station_name,end_station_name,member_casual,rideable_type,trip_duration_min
2024-10-01 17:53:19.507,2024-10-01 18:12:17.878,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,member,classic_bike,18.97285
2024-10-23 17:59:33.422,2024-10-23 18:18:31.776,DuSable Lake Shore Dr & Monroe St,Adler Planetarium,casual,electric_bike,18.97256666666667
2024-10-03 17:18:12.853,2024-10-03 17:37:05.960,DuSable Lake Shore Dr & Wellington Ave,,member,electric_bike,18.885116666666665
2024-10-23 18:44:20.911,2024-10-23 19:03:13.083,DuSable Lake Shore Dr & Diversey Pkwy,Bissell St & Armitage Ave*,member,classic_bike,18.869533333333333
2024-10-20 17:26:40.966,2024-10-20 17:45:27.774,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,18.780133333333332
2024-10-24 08:30:38.828,2024-10-24 08:49:25.268,DuSable Lake Shore Dr & Diversey Pkwy,Clinton St & Madison St,member,electric_bike,18.774
2024-10-12 17:47:58.318,2024-10-12 18:06:44.296,DuSable Lake Shore Dr & Monroe St,Burnham Harbor,casual,classic_bike,18.7663
2024-10-22 09:05:41.776,2024-10-22 09:24:26.583,DuSable Lake Shore Dr & North Blvd,Dearborn St & Adams St,member,classic_bike,18.746783333333333
2024-10-29 08:47:34.581,2024-10-29 09:06:17.826,DuSable Lake Shore Dr & Wellington Ave,,casual,electric_bike,18.72075
2024-10-31 09:50:35.394,2024-10-31 10:09:17.774,DuSable Lake Shore Dr & North Blvd,Michigan Ave & 18th St,member,electric_bike,18.706333333333337
2024-10-01 09:05:55.386,2024-10-01 09:24:34.556,DuSable Lake Shore Dr & Wellington Ave,Green St & Washington Blvd,member,electric_bike,18.652833333333334
2024-10-01 18:20:11.382,2024-10-01 18:38:47.822,DuSable Lake Shore Dr & Wellington Ave,,casual,electric_bike,18.607333333333333
2024-10-18 16:08:20.860,2024-10-18 16:26:55.994,Lakefront Trail & Bryn Mawr Ave,Lincoln Ave & Belle Plaine Ave,member,electric_bike,18.58556666666667
2024-10-07 08:34:36.321,2024-10-07 08:53:08.745,DuSable Lake Shore Dr & Diversey Pkwy,Halsted St & Fulton St,member,electric_bike,18.540399999999998
2024-10-03 17:17:58.799,2024-10-03 17:36:29.700,DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,casual,classic_bike,18.515016666666668
2024-10-26 16:44:32.371,2024-10-26 17:02:59.525,DuSable Lake Shore Dr & North Blvd,Millennium Park,casual,classic_bike,18.452566666666666
2024-10-19 16:19:28.205,2024-10-19 16:37:52.552,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,18.405783333333332
2024-10-10 08:07:55.180,2024-10-10 08:26:18.553,DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,member,classic_bike,18.38955
2024-10-24 08:07:22.215,2024-10-24 08:25:44.791,DuSable Lake Shore Dr & Wellington Ave,Michigan Ave & Oak St,member,classic_bike,18.376266666666666
2024-10-10 17:14:41.285,2024-10-10 17:33:03.031,DuSable Lake Shore Dr & Diversey Pkwy,Marine Dr & Ainslie St,member,classic_bike,18.362433333333335
2024-10-12 07:20:00.826,2024-10-12 07:38:21.591,DuSable Lake Shore Dr & Monroe St,Wabash Ave & 16th St,member,classic_bike,18.346083333333336
2024-10-13 09:43:22.275,2024-10-13 10:01:41.107,DuSable Lake Shore Dr & Wellington Ave,Dusable Harbor,member,classic_bike,18.31386666666667
2024-10-19 17:58:20.325,2024-10-19 18:16:38.105,Lakefront Trail & Bryn Mawr Ave,Sheridan Rd & Loyola Ave,casual,classic_bike,18.296333333333333
2024-10-20 09:59:19.688,2024-10-20 10:17:36.316,DuSable Lake Shore Dr & Belmont Ave,Dearborn St & Erie St,member,electric_bike,18.27713333333333
2024-10-10 16:17:45.836,2024-10-10 16:36:01.980,DuSable Lake Shore Dr & Monroe St,Calumet Ave & 21st St,member,classic_bike,18.269066666666667
2024-10-11 16:55:03.019,2024-10-11 17:13:14.676,DuSable Lake Shore Dr & Monroe St,Franklin St & Jackson Blvd,casual,classic_bike,18.19428333333333
2024-10-06 16:25:02.554,2024-10-06 16:43:07.651,DuSable Lake Shore Dr & Wellington Ave,Michigan Ave & Oak St,member,classic_bike,18.08495
2024-10-04 16:12:23.886,2024-10-04 16:30:24.166,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,casual,electric_bike,18.004666666666665
2024-10-11 17:55:26.649,2024-10-11 18:13:25.127,DuSable Lake Shore Dr & North Blvd,Clark St & Wellington Ave,casual,classic_bike,17.974633333333333
2024-10-01 16:35:36.605,2024-10-01 16:53:32.790,DuSable Lake Shore Dr & North Blvd,Sheffield Ave & Fullerton Ave,casual,classic_bike,17.936416666666666
2024-10-24 17:27:08.005,2024-10-24 17:45:03.646,DuSable Lake Shore Dr & Monroe St,Franklin St & Adams St (Temp),member,electric_bike,17.92735
2024-10-20 18:48:47.899,2024-10-20 19:06:40.973,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,classic_bike,17.884566666666668
2024-10-11 17:38:13.805,2024-10-11 17:56:02.813,DuSable Lake Shore Dr & Monroe St,LaSalle St & Illinois St,casual,classic_bike,17.8168
2024-10-19 18:42:46.555,2024-10-19 19:00:35.109,DuSable Lake Shore Dr & Wellington Ave,,casual,electric_bike,17.809233333333335
2024-10-01 09:37:27.747,2024-10-01 09:55:07.116,Lakefront Trail & Bryn Mawr Ave,Pine Grove Ave & Waveland Ave,member,classic_bike,17.65615
2024-10-20 16:11:31.722,2024-10-20 16:29:05.142,Lakefront Trail & Bryn Mawr Ave,Broadway & Waveland Ave,casual,classic_bike,17.557000000000002
2024-10-28 16:51:23.966,2024-10-28 17:08:57.228,DuSable Lake Shore Dr & Monroe St,Clark St & Elm St,member,classic_bike,17.554366666666667
2024-10-27 17:24:25.750,2024-10-27 17:41:50.618,DuSable Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,casual,classic_bike,17.414466666666666
2024-10-20 09:26:24.497,2024-10-20 09:43:49.115,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,electric_bike,17.4103
2024-10-02 09:06:52.170,2024-10-02 09:24:16.112,DuSable Lake Shore Dr & North Blvd,,member,electric_bike,17.399033333333332
2024-10-25 17:32:27.176,2024-10-25 17:49:50.473,DuSable Lake Shore Dr & North Blvd,Wells St & Hubbard St,member,classic_bike,17.388283333333334
2024-10-19 16:56:07.938,2024-10-19 17:13:30.521,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Oak St,member,classic_bike,17.376383333333333
2024-10-20 18:27:32.424,2024-10-20 18:44:53.177,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,classic_bike,17.345883333333333
2024-10-24 08:00:01.207,2024-10-24 08:17:17.195,DuSable Lake Shore Dr & Belmont Ave,Montrose Harbor,member,classic_bike,17.266466666666666
2024-10-05 17:57:50.284,2024-10-05 18:15:04.664,DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,casual,classic_bike,17.23966666666667
2024-10-05 16:58:26.701,2024-10-05 17:15:39.903,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Oak St,casual,electric_bike,17.220033333333333
2024-10-13 17:13:31.538,2024-10-13 17:30:43.844,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,classic_bike,17.2051
2024-10-20 16:44:08.442,2024-10-20 17:01:19.437,DuSable Lake Shore Dr & Wellington Ave,Larrabee St & Division St,member,electric_bike,17.183249999999997
2024-10-31 16:27:41.975,2024-10-31 16:44:52.639,DuSable Lake Shore Dr & North Blvd,Paulina Ave & North Ave,member,classic_bike,17.177733333333332
2024-10-24 08:33:36.016,2024-10-24 08:50:43.051,DuSable Lake Shore Dr & North Blvd,Franklin St & Monroe St,casual,classic_bike,17.117250000000002
2024-10-12 09:14:15.365,2024-10-12 09:31:17.671,DuSable Lake Shore Dr & Wellington Ave,Clark St & Lincoln Ave,casual,classic_bike,17.038433333333334
2024-10-02 07:37:03.140,2024-10-02 07:54:03.793,DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,member,classic_bike,17.010883333333332
2024-10-13 16:06:30.597,2024-10-13 16:23:30.578,DuSable Lake Shore Dr & Monroe St,Mies van der Rohe Way & Chestnut St,member,classic_bike,16.999683333333333
2024-10-05 16:08:14.245,2024-10-05 16:25:13.352,DuSable Lake Shore Dr & Diversey Pkwy,Lincoln Ave & Melrose St,casual,electric_bike,16.985116666666666
2024-10-28 07:25:40.014,2024-10-28 07:42:33.547,DuSable Lake Shore Dr & North Blvd,Stetson Ave & South Water St,member,classic_bike,16.892216666666666
2024-10-03 18:32:20.088,2024-10-03 18:49:13.066,DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,casual,electric_bike,16.882966666666665
2024-10-11 18:27:41.786,2024-10-11 18:44:26.521,DuSable Lake Shore Dr & North Blvd,Adler Planetarium,member,electric_bike,16.745583333333332
2024-10-07 09:47:00.044,2024-10-07 10:03:41.386,Lakefront Trail & Bryn Mawr Ave,Pine Grove Ave & Irving Park Rd,member,classic_bike,16.689033333333334
2024-10-04 17:19:05.404,2024-10-04 17:35:45.660,DuSable Lake Shore Dr & Diversey Pkwy,Dearborn Pkwy & Delaware Pl,member,classic_bike,16.670933333333334
2024-10-17 07:49:09.304,2024-10-17 08:05:41.942,DuSable Lake Shore Dr & Diversey Pkwy,McClurg Ct & Ohio St,casual,electric_bike,16.543966666666666
2024-10-21 07:27:51.472,2024-10-21 07:44:24.015,DuSable Lake Shore Dr & North Blvd,Halsted St & Fulton St,casual,electric_bike,16.542383333333333
2024-10-06 18:17:35.708,2024-10-06 18:34:05.704,DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,member,classic_bike,16.499933333333335
2024-10-12 16:20:12.221,2024-10-12 16:36:37.602,DuSable Lake Shore Dr & North Blvd,Dearborn St & Erie St,casual,classic_bike,16.423016666666665
2024-10-08 17:52:58.954,2024-10-08 18:09:23.261,DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,casual,classic_bike,16.405116666666668
2024-10-18 09:19:57.826,2024-10-18 09:36:20.772,DuSable Lake Shore Dr & North Blvd,Elizabeth St & Fulton St,member,electric_bike,16.382433333333335
2024-10-17 08:47:06.447,2024-10-17 09:03:28.291,DuSable Lake Shore Dr & Wellington Ave,St. Clair St & Erie St,member,electric_bike,16.364066666666666
2024-10-29 16:19:03.447,2024-10-29 16:35:25.138,DuSable Lake Shore Dr & Diversey Pkwy,Bissell St & Armitage Ave*,member,classic_bike,16.361516666666667
2024-10-12 08:27:49.079,2024-10-12 08:44:09.812,DuSable Lake Shore Dr & Monroe St,Fairbanks Ct & Grand Ave,casual,classic_bike,16.34555
2024-10-16 09:55:56.184,2024-10-16 10:12:13.471,DuSable Lake Shore Dr & Monroe St,Sheffield Ave & Wrightwood Ave,member,electric_bike,16.288116666666667
2024-10-03 08:26:12.306,2024-10-03 08:42:27.750,DuSable Lake Shore Dr & Wellington Ave,McClurg Ct & Erie St,member,electric_bike,16.2574
2024-10-05 17:00:02.287,2024-10-05 17:16:13.579,DuSable Lake Shore Dr & North Blvd,Dusable Harbor,casual,classic_bike,16.188200000000002
2024-10-20 16:59:24.263,2024-10-20 17:15:35.323,DuSable Lake Shore Dr & North Blvd,Cityfront Plaza Dr & Pioneer Ct,casual,classic_bike,16.18433333333333
2024-10-09 16:38:16.352,2024-10-09 16:54:21.732,DuSable Lake Shore Dr & Monroe St,,member,electric_bike,16.089666666666666
2024-10-17 17:58:33.289,2024-10-17 18:14:36.972,Lakefront Trail & Wilson Ave,,casual,electric_bike,16.061383333333332
2024-10-04 08:59:37.314,2024-10-04 09:15:39.382,DuSable Lake Shore Dr & Diversey Pkwy,,member,electric_bike,16.034466666666667
2024-10-06 17:47:31.781,2024-10-06 18:03:29.437,DuSable Lake Shore Dr & Belmont Ave,Clark St & Schiller St,member,electric_bike,15.960933333333333
2024-10-11 17:18:54.258,2024-10-11 17:34:48.761,Lakefront Trail & Bryn Mawr Ave,Clark St & Berwyn Ave,member,classic_bike,15.908383333333335
2024-10-12 18:45:51.584,2024-10-12 19:01:45.297,DuSable Lake Shore Dr & Monroe St,Michigan Ave & 18th St,member,classic_bike,15.895216666666666
2024-10-13 09:59:03.599,2024-10-13 10:14:55.711,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,casual,classic_bike,15.868533333333334
2024-10-22 07:21:24.415,2024-10-22 07:37:12.424,Lakefront Trail & Wilson Ave,Theater on the Lake,member,classic_bike,15.80015
2024-10-16 18:42:16.992,2024-10-16 18:58:04.619,DuSable Lake Shore Dr & Wellington Ave,Clark St & Schiller St,casual,classic_bike,15.793783333333332
2024-10-08 08:07:57.774,2024-10-08 08:23:39.929,DuSable Lake Shore Dr & Wellington Ave,Clark St & Drummond Pl,member,classic_bike,15.702583333333333
2024-10-09 18:30:08.721,2024-10-09 18:45:50.253,DuSable Lake Shore Dr & North Blvd,McClurg Ct & Ohio St,member,electric_bike,15.692200000000001
2024-10-11 17:35:04.699,2024-10-11 17:50:45.075,DuSable Lake Shore Dr & North Blvd,Fairbanks Ct & Grand Ave,member,electric_bike,15.672933333333333
2024-10-10 07:11:15.192,2024-10-10 07:26:54.884,DuSable Lake Shore Dr & Belmont Ave,Fairbanks St & Superior St,member,electric_bike,15.661533333333333
2024-10-30 18:41:17.334,2024-10-30 18:56:56.817,DuSable Lake Shore Dr & Wellington Ave,Broadway & Wilson Ave,member,classic_bike,15.65805
2024-10-30 16:38:24.051,2024-10-30 16:54:02.617,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,member,classic_bike,15.642766666666667
2024-10-21 17:49:35.404,2024-10-21 18:05:09.134,DuSable Lake Shore Dr & Belmont Ave,Clark St & Winnemac Ave,casual,electric_bike,15.562166666666666
2024-10-06 16:54:50.226,2024-10-06 17:10:22.329,DuSable Lake Shore Dr & Diversey Pkwy,Talman Ave & Addison St,member,electric_bike,15.53505
